быть;ser
ящерица;lagarto
крокодил;crocodilo
лягушка;sapo
рыба;peixe
акула;tubarão
кит;baleia
дельфин;golfinho
осьминог;polvo
краб;caranguejo
омар;lagosta
креветка;camarão
устрица;ostra
муравей;formiga
пчела;abelha
оса;vespa
бабочка;borboleta
муха;mosca
комар;mosquito
паук;aranha
птица;pássaro
курица;galinha
говорить;falar
делать;fazer
быть;ser
видеть;ver
знать;saber
хотеть;querer
идти;ir
жить;viver
работать;trabalhar
думать;pensar
любить;amar
время;tempo
день;dia
год;ano
человек;pessoa
друг;amigo
дом;casa
семья;família
работа;trabalho
жизнь;vida
мир;mundo
страна;país
город;cidade
место;lugar
большой;grande
новый;novo
хороший;bom
маленький;pequeno
старый;velho
высокий;alto
красивый;bonito
быстро;rápido
хорошо;bem
плохо;mal
много;muito
мало;pouco
всегда;sempre
никогда;nunca
часто;frequentemente
редко;raramente
есть;comer
пить;beber
спать;dormir
учиться;estudar
читать;ler
писать;escrever
слушать;ouvir
смотреть;olhar
находить;encontrar
терять;perder
начинать;começar
заканчивать;terminar
открывать;abrir
закрывать;fechar
покупать;comprar
продавать;vender
помогать;ajudar
просить;pedir
давать;dar
брать;pegar
ждать;esperar
искать;procurar
ребёнок;criança
мужчина;homem
женщина;mulher
мальчик;menino
девочка;menina
книга;livro
стол;mesa
стул;cadeira
окно;janela
дверь;porta
компьютер;computador
телефон;telefone
машина;carro
школа;escola
университет;universidade
больница;hospital
магазин;loja
ресторан;restaurante
банк;banco
парк;parque
улица;rua
дорога;estrada
море;mar
река;rio
гора;montanha
лес;floresta
небо;céu
солнце;sol
луна;lua
звезда;estrela
интересный;interessante
важный;importante
трудный;difícil
лёгкий;fácil
дорогой;caro
дешёвый;barato
чистый;limpo
грязный;sujo
громкий;alto
тихий;baixo
быстрый;rápido
медленный;lento
сильный;forte
слабый;fraco
умный;inteligente
глупый;estúpido
счастливый;feliz
грустный;triste
богатый;rico
бедный;pobre
молодой;jovem
правильно;corretamente
неправильно;incorretamente
громко;alto
тихо;baixo
медленно;devagar
сильно;fortemente
слабо;fracamente
умно;inteligentemente
глупо;estupidamente
счастливо;felizmente
грустно;tristemente
богато;ricamente
бедно;pobremente
молодо;jovialmente
легко;facilmente
трудно;dificilmente
интересно;interessantemente
важно;importantemente
дорого;caro
дёшево;barato
чисто;limpamente
грязно;sujamente
готовить;cozinhar
бегать;correr
прыгать;pular
плавать;nadar
летать;voar
петь;cantar
танцевать;dançar
рисовать;desenhar
фотографировать;fotografar
играть;jogar
путешествовать;viajar
отдыхать;descansar
учить;ensinar
лечить;curar
строить;construir
ремонтировать;consertar
чинить;reparar
убирать;limpar
стирать;lavar
гладить;passar
шить;costurar
вязать;tricotar
выращивать;cultivar
сажать;plantar
собирать;colher
охотиться;caçar
рыбачить;pescar
водить;dirigir
летать;pilotar
программировать;programar
рисковать;arriscar
инвестировать;investir
экономить;economizar
тратить;gastar
зарабатывать;ganhar
платить;pagar
одалживать;emprestar
возвращать;devolver
дарить;presentear
праздновать;celebrar
планировать;planejar
организовывать;organizar
управлять;administrar
контролировать;controlar
анализировать;analisar
исследовать;pesquisar
изобретать;inventar
создавать;criar
разрушать;destruir
защищать;proteger
атаковать;atacar
побеждать;vencer
проигрывать;perder
соревноваться;competir
сотрудничать;colaborar
общаться;comunicar
обсуждать;discutir
спорить;argumentar
соглашаться;concordar
возражать;discordar
утверждать;afirmar
отрицать;negar
обещать;prometer
извиняться;desculpar-se
прощать;perdoar
благодарить;agradecer
поздравлять;parabenizar
приветствовать;cumprimentar
прощаться;despedir-se
мечтать;sonhar
воображать;imaginar
фантазировать;fantasiar
вдохновлять;inspirar
мотивировать;motivar
поддерживать;apoiar
утешать;consolar
успокаивать;acalmar
расслаблять;relaxar
напрягать;tensionar
волноваться;preocupar-se
беспокоиться;inquietar-se
радоваться;alegrar-se
огорчаться;entristecer-se
злиться;irritar-se
удивляться;surpreender-se
восхищаться;admirar
завидовать;invejar
ревновать;ciúme
доверять;confiar
подозревать;suspeitar
родитель;pai
ребенок;filho
брат;irmão
сестра;irmã
дедушка;avô
бабушка;avó
внук;neto
тётя;tia
дядя;tio
двоюродный брат;primo
двоюродная сестра;prima
племянник;sobrinho
племянница;sobrinha
муж;marido
жена;esposa
зять;genro
невестка;nora
свекровь;sogra
свёкор;sogro
теща;sogra
тесть;sogro
друг;amigo
подруга;amiga
коллега;colega
сосед;vizinho
начальник;chefe
подчинённый;subordinado
учитель;professor
ученик;aluno
врач;médico
пациент;paciente
клиент;cliente
продавец;vendedor
покупатель;comprador
арендодатель;senhorio
арендатор;inquilino
фрукт;fruta
овощ;legume
мясо;carne
рыба;peixe
хлеб;pão
молоко;leite
сыр;queijo
яйцо;ovo
масло;manteiga
соль;sal
сахар;açúcar
рис;arroz
макароны;massa
суп;sopa
салат;salada
десерт;sobremesa
напиток;bebida
вода;água
сок;suco
чай;chá
кофе;café
вино;vinho
пиво;cerveja
одежда;roupa
рубашка;camisa
брюки;calça
юбка;saia
платье;vestido
пальто;casaco
куртка;jaqueta
свитер;suéter
носки;meias
обувь;sapato
шапка;chapéu
перчатки;luvas
шарф;cachecol
кровать;cama
диван;sofá
кресло;poltrona
шкаф;armário
комод;cômoda
зеркало;espelho
ковёр;tapete
штора;cortina
лампа;lâmpada
часы;relógio
календарь;calendário
картина;quadro
фотография;fotografia
ваза;vaso
цветок;flor
растение;planta
дерево;árvore
трава;grama
лист;folha
корень;raiz
плод;fruto
семя;semente
животное;animal
собака;cão
кошка;gato
птица;pássaro
рыба;peixe
насекомое;inseto
змея;cobra
лошадь;cavalo
корова;vaca
свинья;porco
овца;ovelha
курица;galinha
утка;pato
кролик;coelho
медведь;urso
волк;lobo
лиса;raposa
тигр;tigre
лев;leão
слон;elefante
жираф;girafa
обезьяна;macaco
дельфин;golfinho
кит;baleia
акула;tubarão
орёл;águia
сова;coruja
попугай;papagaio
муравей;formiga
пчела;abelha
бабочка;borboleta
паук;aranha
транспорт;transporte
автомобиль;carro
автобус;ônibus
поезд;trem
самолёт;avião
корабль;navio
велосипед;bicicleta
мотоцикл;motocicleta
такси;táxi
метро;metrô
трамвай;bonde
лодка;barco
вертолёт;helicóptero
ракета;foguete
погода;clima
температура;temperatura
дождь;chuva
снег;neve
ветер;vento
гроза;tempestade
радуга;arco-íris
облако;nuvem
туман;nevoeiro
град;granizo
ураган;furacão
землетрясение;terremoto
наводнение;inundação
засуха;seca
утро;manhã
день;dia
вечер;noite
ночь;noite
неделя;semana
месяц;mês
сезон;estação
весна;primavera
лето;verão
осень;outono
зима;inverno
праздник;feriado
Новый год;Ano Novo
Рождество;Natal
Пасха;Páscoa
день рождения;aniversário
свадьба;casamento
профессия;profissão
инженер;engenheiro
врач;médico
учитель;professor
юрист;advogado
бухгалтер;contador
программист;programador
дизайнер;designer
художник;artista
музыкант;músico
актёр;ator
писатель;escritor
журналист;jornalista
повар;cozinheiro
официант;garçom
полицейский;policial
пожарный;bombeiro
военный;militar
фермер;agricultor
строитель;construtor
электрик;eletricista
сантехник;encanador
механик;mecânico
спорт;esporte
футбол;futebol
баскетбол;basquete
теннис;tênis
волейбол;vôlei
плавание;natação
бег;corrida
велоспорт;ciclismo
гимнастика;ginástica
бокс;boxe
борьба;luta
шахматы;xadrez
гольф;golfe
лыжи;esqui
сноуборд;snowboard
серфинг;surfe
музыка;música
песня;canção
мелодия;melodia
ритм;ritmo
инструмент;instrumento
гитара;guitarra
пианино;piano
скрипка;violino
барабан;tambor
флейта;flauta
труба;trompete
оркестр;orquestra
концерт;concerto
опера;ópera
балет;balé
искусство;arte
живопись;pintura
скульптура;escultura
архитектура;arquitetura
фотография;fotografia
кино;cinema
театр;teatro
литература;literatura
поэзия;poesia
наука;ciência
физика;física
химия;química
биология;biologia
математика;matemática
астрономия;astronomia
география;geografia
история;história
психология;psicologia
социология;sociologia
экономика;economia
политика;política
философия;filosofia
религия;religião
культура;cultura
традиция;tradição
обычай;costume
язык;língua
диалект;dialeto
акцент;sotaque
грамматика;gramática
лексика;vocabulário
произношение;pronúncia
перевод;tradução
словарь;dicionário
учебник;livro didático
упражнение;exercício
задание;tarefa
экзамен;exame
оценка;nota
диплом;diploma
степень;grau
исследование;pesquisa
эксперимент;experimento
теория;teoria
гипотеза;hipótese
доказательство;prova
открытие;descoberta
изобретение;invenção
инновация;inovação
технология;tecnologia
прогресс;progresso
развитие;desenvolvimento
эволюция;evolução
революция;revolução
общество;sociedade
государство;estado
правительство;governo
закон;lei
право;direito
свобода;liberdade
демократия;democracia
выборы;eleição
голосование;votação
гражданин;cidadão
национальность;nacionalidade
паспорт;passaporte
виза;visto
граница;fronteira
таможня;alfândega
путешествие;viagem
туризм;turismo
отпуск;férias
гостиница;hotel
ресторан;restaurante
кафе;café
бар;bar
магазин;loja
рынок;mercado
супермаркет;supermercado
аптека;farmácia
больница;hospital
поликлиника;clínica
аэропорт;aeroporto
вокзал;estação
остановка;parada
парковка;estacionamento
заправка;posto de gasolina
банк;banco
почта;correio
библиотека;biblioteca
музей;museu
галерея;galeria
стадион;estádio
бассейн;piscina
спортзал;academia
парк;parque
пляж;praia
лес;floresta
гора;montanha
озеро;lago
река;rio
море;mar
океан;oceano
говорить;falar
делать;fazer
быть;ser
видеть;ver
знать;saber
хотеть;querer
идти;ir
жить;viver
работать;trabalhar
думать;pensar
любить;amar
время;tempo
день;dia
год;ano
человек;pessoa
друг;amigo
дом;casa
семья;família
работа;trabalho
жизнь;vida
мир;mundo
страна;país
город;cidade
место;lugar
большой;grande
новый;novo
хороший;bom
маленький;pequeno
старый;velho
высокий;alto
красивый;bonito
быстро;rápido
хорошо;bem
плохо;mal
много;muito
мало;pouco
всегда;sempre
никогда;nunca
часто;frequentemente
редко;raramente
есть;comer
пить;beber
спать;dormir
учиться;estudar
читать;ler
писать;escrever
слушать;ouvir
смотреть;olhar
находить;encontrar
терять;perder
начинать;começar
заканчивать;terminar
открывать;abrir
закрывать;fechar
покупать;comprar
продавать;vender
помогать;ajudar
просить;pedir
давать;dar
брать;pegar
ждать;esperar
искать;procurar
ребёнок;criança
мужчина;homem
женщина;mulher
мальчик;menino
девочка;menina
книга;livro
стол;mesa
стул;cadeira
окно;janela
дверь;porta
компьютер;computador
телефон;telefone
машина;carro
школа;escola
университет;universidade
больница;hospital
магазин;loja
ресторан;restaurante
банк;banco
парк;parque
улица;rua
дорога;estrada
море;mar
река;rio
гора;montanha
лес;floresta
небо;céu
солнце;sol
луна;lua
звезда;estrela
интересный;interessante
важный;importante
трудный;difícil
лёгкий;fácil
дорогой;caro
дешёвый;barato
чистый;limpo
грязный;sujo
громкий;alto
тихий;baixo
быстрый;rápido
медленный;lento
сильный;forte
слабый;fraco
умный;inteligente
глупый;estúpido
счастливый;feliz
грустный;triste
богатый;rico
бедный;pobre
молодой;jovem
правильно;corretamente
неправильно;incorretamente
громко;alto
тихо;baixo
медленно;devagar
сильно;fortemente
слабо;fracamente
умно;inteligentemente
глупо;estupidamente
счастливо;felizmente
грустно;tristemente
богато;ricamente
бедно;pobremente
молодо;jovialmente
легко;facilmente
трудно;dificilmente
интересно;interessantemente
важно;importantemente
дорого;caro
дёшево;barato
чисто;limpamente
грязно;sujamente
готовить;cozinhar
бегать;correr
прыгать;pular
плавать;nadar
летать;voar
петь;cantar
танцевать;dançar
рисовать;desenhar
фотографировать;fotografar
играть;jogar
путешествовать;viajar
отдыхать;descansar
учить;ensinar
лечить;curar
строить;construir
ремонтировать;consertar
чинить;reparar
убирать;limpar
стирать;lavar
гладить;passar
шить;costurar
вязать;tricotar
выращивать;cultivar
сажать;plantar
собирать;colher
охотиться;caçar
рыбачить;pescar
водить;dirigir
летать;pilotar
программировать;programar
рисковать;arriscar
инвестировать;investir
экономить;economizar
тратить;gastar
зарабатывать;ganhar
платить;pagar
одалживать;emprestar
возвращать;devolver
дарить;presentear
праздновать;celebrar
планировать;planejar
организовывать;organizar
управлять;administrar
контролировать;controlar
анализировать;analisar
исследовать;pesquisar
изобретать;inventar
создавать;criar
разрушать;destruir
защищать;proteger
атаковать;atacar
побеждать;vencer
проигрывать;perder
соревноваться;competir
сотрудничать;colaborar
общаться;comunicar
обсуждать;discutir
спорить;argumentar
соглашаться;concordar
возражать;discordar
утверждать;afirmar
отрицать;negar
обещать;prometer
извиняться;desculpar-se
прощать;perdoar
благодарить;agradecer
поздравлять;parabenizar
приветствовать;cumprimentar
прощаться;despedir-se
мечтать;sonhar
воображать;imaginar
фантазировать;fantasiar
вдохновлять;inspirar
мотивировать;motivar
поддерживать;apoiar
утешать;consolar
успокаивать;acalmar
расслаблять;relaxar
напрягать;tensionar
волноваться;preocupar-se
беспокоиться;inquietar-se
радоваться;alegrar-se
огорчаться;entristecer-se
злиться;irritar-se
удивляться;surpreender-se
восхищаться;admirar
завидовать;invejar
ревновать;ciúme
доверять;confiar
подозревать;suspeitar
родитель;pai
ребенок;filho
брат;irmão
сестра;irmã
дедушка;avô
бабушка;avó
внук;neto
тётя;tia
дядя;tio
двоюродный брат;primo
двоюродная сестра;prima
племянник;sobrinho
племянница;sobrinha
муж;marido
жена;esposa
зять;genro
невестка;nora
свекровь;sogra
свёкор;sogro
теща;sogra
тесть;sogro
друг;amigo
подруга;amiga
коллега;colega
сосед;vizinho
начальник;chefe
подчинённый;subordinado
учитель;professor
ученик;aluno
врач;médico
пациент;paciente
клиент;cliente
продавец;vendedor
покупатель;comprador
арендодатель;senhorio
арендатор;inquilino
фрукт;fruta
овощ;legume
мясо;carne
рыба;peixe
хлеб;pão
молоко;leite
сыр;queijo
яйцо;ovo
масло;manteiga
соль;sal
сахар;açúcar
рис;arroz
макароны;massa
суп;sopa
салат;salada
десерт;sobremesa
напиток;bebida
вода;água
сок;suco
чай;chá
кофе;café
вино;vinho
пиво;cerveja
одежда;roupa
рубашка;camisa
брюки;calça
юбка;saia
платье;vestido
пальто;casaco
куртка;jaqueta
свитер;suéter
носки;meias
обувь;sapato
шапка;chapéu
перчатки;luvas
шарф;cachecol
кровать;cama
диван;sofá
кресло;poltrona
шкаф;armário
комод;cômoda
зеркало;espelho
ковёр;tapete
штора;cortina
лампа;lâmpada
часы;relógio
календарь;calendário
картина;quadro
фотография;fotografia
ваза;vaso
цветок;flor
растение;planta
дерево;árvore
трава;grama
лист;folha
корень;raiz
плод;fruto
семя;semente
животное;animal
собака;cão
кошка;gato
птица;pássaro
рыба;peixe
насекомое;inseto
змея;cobra
лошадь;cavalo
корова;vaca
свинья;porco
овца;ovelha
курица;galinha
утка;pato
кролик;coelho
медведь;urso
волк;lobo
лиса;raposa
тигр;tigre
лев;leão
слон;elefante
жираф;girafa
обезьяна;macaco
дельфин;golfinho
кит;baleia
акула;tubarão
орёл;águia
сова;coruja
попугай;papagaio
муравей;formiga
пчела;abelha
бабочка;borboleta
паук;aranha
транспорт;transporte
автомобиль;carro
автобус;ônibus
поезд;trem
самолёт;avião
корабль;navio
велосипед;bicicleta
мотоцикл;motocicleta
такси;táxi
метро;metrô
трамвай;bonde
лодка;barco
вертолёт;helicóptero
ракета;foguete
погода;clima
температура;temperatura
дождь;chuva
снег;neve
ветер;vento
гроза;tempestade
радуга;arco-íris
облако;nuvem
туман;nevoeiro
град;granizo
ураган;furacão
землетрясение;terremoto
наводнение;inundação
засуха;seca
утро;manhã
день;dia
вечер;noite
ночь;noite
неделя;semana
месяц;mês
сезон;estação
весна;primavera
лето;verão
осень;outono
зима;inverno
праздник;feriado
Новый год;Ano Novo
Рождество;Natal
Пасха;Páscoa
день рождения;aniversário
свадьба;casamento
профессия;profissão
инженер;engenheiro
врач;médico
учитель;professor
юрист;advogado
бухгалтер;contador
программист;programador
дизайнер;designer
художник;artista
музыкант;músico
актёр;ator
писатель;escritor
журналист;jornalista
повар;cozinheiro
официант;garçom
полицейский;policial
пожарный;bombeiro
военный;militar
фермер;agricultor
строитель;construtor
электрик;eletricista
сантехник;encanador
механик;mecânico
спорт;esporte
футбол;futebol
баскетбол;basquete
теннис;tênis
волейбол;vôlei
плавание;natação
бег;corrida
велоспорт;ciclismo
гимнастика;ginástica
бокс;boxe
борьба;luta
шахматы;xadrez
гольф;golfe
лыжи;esqui
сноуборд;snowboard
серфинг;surfe
музыка;música
песня;canção
мелодия;melodia
ритм;ritmo
инструмент;instrumento
гитара;guitarra
пианино;piano
скрипка;violino
барабан;tambor
флейта;flauta
труба;trompete
оркестр;orquestra
концерт;concerto
опера;ópera
балет;balé
искусство;arte
живопись;pintura
скульптура;escultura
архитектура;arquitetura
фотография;fotografia
кино;cinema
театр;teatro
литература;literatura
поэзия;poesia
наука;ciência
физика;física
химия;química
биология;biologia
математика;matemática
астрономия;astronomia
география;geografia
история;história
психология;psicologia
социология;sociologia
экономика;economia
политика;política
философия;filosofia
религия;religião
культура;cultura
традиция;tradição
обычай;costume
язык;língua
диалект;dialeto
акцент;sotaque
грамматика;gramática
лексика;vocabulário
произношение;pronúncia
перевод;tradução
словарь;dicionário
учебник;livro didático
упражнение;exercício
задание;tarefa
экзамен;exame
оценка;nota
диплом;diploma
степень;grau
исследование;pesquisa
эксперимент;experimento
теория;teoria
гипотеза;hipótese
доказательство;prova
открытие;descoberta
изобретение;invenção
инновация;inovação
технология;tecnologia
прогресс;progresso
развитие;desenvolvimento
эволюция;evolução
революция;revolução
общество;sociedade
государство;estado
правительство;governo
закон;lei
право;direito
свобода;liberdade
демократия;democracia
выборы;eleição
голосование;votação
гражданин;cidadão
национальность;nacionalidade
паспорт;passaporte
виза;visto
граница;fronteira
таможня;alfândega
путешествие;viagem
туризм;turismo
отпуск;férias
гостиница;hotel
ресторан;restaurante
кафе;café
бар;bar
магазин;loja
рынок;mercado
супермаркет;supermercado
аптека;farmácia
больница;hospital
поликлиника;clínica
аэропорт;aeroporto
вокзал;estação
остановка;parada
парковка;estacionamento
заправка;posto de gasolina
банк;banco
почта;correio
библиотека;biblioteca
музей;museu
галерея;galeria
стадион;estádio
бассейн;piscina
спортзал;academia
парк;parque
пляж;praia
лес;floresta
гора;montanha
озеро;lago
река;rio
море;mar
океан;oceano
